id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2261,GREAT LOCATION!LOFT 1  BEDR. FUNISHED AV. SANTA FE,18506696,Diana,,Cuajimalpa de Morelos,19.3602,-99.26943,Entire home/apt,1600,7,3,29/02/2020,0.05,3,70,0,
2262,Comfort 2 en el Centro de Coyoac·n,102246531,Maribel,,Coyoac·n,19.34115,-99.16948,Entire home/apt,750,10,33,20/11/2019,0.47,4,363,0,
2263,Light-Filled Gem in La Condesa,2549232,Alberto,,CuauhtÈmoc,19.41053,-99.16943,Entire home/apt,1650,2,339,16/12/2022,4.81,1,97,86,
2264,cozy and neural:perfect place to enjoy la Roma.,2001590,Judith,,CuauhtÈmoc,19.42619,-99.1604,Entire home/apt,1705,3,68,25/11/2022,1,2,345,22,
2265,Casa de descanso. Segura y tranquila.  Sur CDMX.,25946805,Juan L.,,Coyoac·n,19.3408,-99.12904,Entire home/apt,778,1,0,,,1,83,0,
2266,El Centro Hist√≥rico vista iglesia Santo Domingo,123924423,Fernanda,,CuauhtÈmoc,19.44058,-99.13329,Entire home/apt,682,1,131,20/12/2022,1.87,6,149,44,
2267,LA CASA DE ANTU,70399765,Hector,,Benito Ju·rez,19.3906,-99.16547,Private room,329,2,116,27/11/2022,1.69,1,166,34,
2268,Qu√©date en este bello Oasis de la Ciudad de M√©xico.,2828980,Mar√≠a,,CuauhtÈmoc,19.42769,-99.15715,Entire home/apt,3188,2,318,12/12/2022,4.56,4,202,54,
2269,Bonita habitaci√≥n al sur de la CDMX,87765488,Rosy,,Tlalpan,19.27227,-99.1443,Private room,360,3,3,08/10/2022,0.05,5,365,1,
2270,Recamara al sur de la ciudad bien comunicada,122413667,Antero,,Coyoac·n,19.33943,-99.18573,Private room,450,1,0,,,1,365,0,
2271,INCREIBLE CASA amueblada en renta por un a√±o.,117825901,Vibra,,Tlalpan,19.28479,-99.17239,Entire home/apt,1020,360,0,,,1,365,0,
2272,SUNNY ROOM ESCAND√ìN. (Close to Roma/Condesa).,105514034,Oscar,,CuauhtÈmoc,19.40237,-99.17023,Private room,400,1,24,11/12/2022,0.34,2,256,5,
2273,Departamento acogedor ubicado al sur de la cuidad,38361751,Laura,,Tlalpan,19.28866,-99.12663,Private room,400,2,3,03/10/2017,0.04,1,250,0,
2274,Deluxe beautiful apartment near Venados Park,45912316,Francisco,,Benito Ju·rez,19.3742,-99.15848,Entire home/apt,1167,2,68,11/10/2022,0.96,4,351,14,
2275,C√°lido mini loft en Col. San Rafael Cd de M√©xico,84937393,Tania,,CuauhtÈmoc,19.4408,-99.16405,Private room,528,2,49,26/11/2022,0.73,1,68,9,
2276,Habitaci√≥n privada para estudiantes IPADE #1,111281457,Abigail,,Azcapotzalco,19.4652,-99.1853,Private room,315,15,17,30/09/2022,0.26,3,181,5,
2277,Recamara en zona sur de la ciudad,120651060,Abel,,Coyoac·n,19.32172,-99.16194,Shared room,203,1,19,19/07/2022,0.31,2,180,8,
2278,Bed and Breakfast on the heart of Coyoac·n.,94547651,Angel Jesus,,Coyoac·n,19.35681,-99.16152,Private room,640,1,52,01/12/2022,0.77,10,330,11,
2279,Lovely room in a beatiful Studio.,94547651,Angel Jesus,,Coyoac·n,19.34745,-99.16088,Private room,664,1,7,25/08/2022,0.1,10,320,4,
2280,Hermosa Habitaci√≥n Vista Panor√°mica,152757893,Tanselin,,Miguel Hidalgo,19.44206,-99.18261,Private room,400,1,46,05/12/2020,0.66,4,243,0,
2281,HERMOSO DEPARTAMENTO EN RENTA,72922615,Jorge,,CuauhtÈmoc,19.44435,-99.13972,Entire home/apt,1600,7,0,,,1,364,0,
2282,Habitaci√≥n Santa Fe !,6968495,Suly,,Cuajimalpa de Morelos,19.36136,-99.26764,Private room,1000,1,6,21/04/2019,0.09,1,303,0,
2283,Beautiful House in Chimalistac/Amazing Garden,107201280,Delmari,,¡lvaro ObregÛn,19.34575,-99.18625,Private room,2416,5,2,15/02/2020,0.04,4,362,0,
2284,Departamento C√©ntrico,120948572,Paulina,,Benito Ju·rez,19.38848,-99.13645,Entire home/apt,300,30,6,01/08/2019,0.09,1,294,0,
2285,"Room near Reforma and Polanco, Xilitla",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,664,1,96,27/11/2022,1.35,32,184,23,
2286,‚òÖ2BR‚òÖ100Mbps WiFi‚òÖ2-FLOOR CONDESA CONDO‚òÖ POOL&GYM‚òÖ,113315614,Daniel,,CuauhtÈmoc,19.41094,-99.18232,Entire home/apt,2733,3,122,11/12/2022,1.83,1,325,26,
2287,"Private room perfectly located, Chichen-Itz√°",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,614,1,121,20/11/2022,1.71,32,175,36,
2288,Cozy apartment in Colonia Roma.,98246440,Nayelli,,CuauhtÈmoc,19.41924,-99.1769,Entire home/apt,600,360,18,27/12/2017,0.26,3,83,0,
2289,MiniSuite with balcony near Saint Regis & Reforma,15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Entire home/apt,1006,1,104,21/11/2022,1.47,32,153,36,
2290,Design apartment great location,6659524,Luis,,Miguel Hidalgo,19.43188,-99.18235,Entire home/apt,1400,2,59,13/08/2020,0.84,2,355,0,
2291,Beautiful and spacious apartment M√©xico city,13546449,Luz,,Benito Ju·rez,19.37232,-99.17826,Entire home/apt,2100,2,60,29/06/2021,0.87,1,0,0,
2292,"Private Room Reforma perfectly located, Uxmal",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,614,1,97,17/12/2022,1.37,32,181,12,
